,,,,,,,,,,,,,,commute-time,,,
1059,0,37.6,31.16,-6.44,92,110,18,140,0,4,0,35,164,232,110,-122,0
1060,0,40.6,40.85,0.25,92,152,60,145,0,4,0,37,215,237,152,-85,0
1061,0,41.6,47.31,5.71,92,181,89,155,0,4,0,45,249,247,181,-66,0
1085,0,36.6,22.99,-13.61,92,94,2,102,0,4,0,70,121,194,94,-100,0
1086,0,36.6,22.99,-13.61,92,94,2,102,0,4,0,70,121,194,94,-100,0
1087,0,36.6,22.99,-13.61,92,94,2,102,0,4,0,55,121,194,94,-100,0
1088,0,33.6,26.22,-7.38,92,108,16,87,0,4,0,41,138,179,108,-71,0
1089,0,23.4,26.79,3.39,45,110,65,57,0,4,0,55,141,102,110,8,0
1116,0,41.6,41.61,0.01,92,157,65,147,0,4,0,35,219,239,157,-82,0
1132,0,34.6,27.74,-6.86,92,112,20,98,0,4,0,35,146,190,112,-78,0
1164,0,39.6,42.56,2.96,92,155,63,123,0,4,0,25,224,215,155,-60,0
1179,0,35.2,23.56,-11.64,71,113,42,130,0,4,0,55,124,201,113,-88,0
1217,0,31.4,4.94,-26.46,54,30,-24,90,0,3,0,25,26,144,30,-114,0
1229,0,35.4,28.88,-6.52,54,101,47,140,0,3,0,70,152,194,101,-93,0
1376,0,31.4,34.58,3.18,71,122,51,105,0,4,0,45,182,176,122,-54,0
2863,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,70,66,134,49,-85,0
2864,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,36,66,134,49,-85,0
2865,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,45,66,134,49,-85,0
2866,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,70,66,134,49,-85,0
2867,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,35,66,134,49,-85,0
2868,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,25,66,134,49,-85,0
2869,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,45,66,134,49,-85,0
2870,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,70,66,134,49,-85,0
2871,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,70,66,134,49,-85,0
2872,0,29.1,12.54,-16.56,54,49,-5,80,0,4,0,15,66,134,49,-85,0
2873,0,30.1,19,-11.1,54,72,18,98,0,4,0,70,100,152,72,-80,0
2874,0,39.4,15.77,-23.63,35,73,38,143,0,3,0,70,83,178,73,-105,0
2890,0,29.35,10.83,-18.52,54,43,-11,85,0,4,0,35,57,139,43,-96,0
2891,0,29.35,10.83,-18.52,54,43,-11,85,0,4,0,55,57,139,43,-96,0
2892,0,30.35,17.29,-13.06,54,66,12,103,0,4,0,70,91,157,66,-91,0
2893,0,30.35,17.29,-13.06,54,66,12,103,0,4,0,70,91,157,66,-91,0
2894,0,30.35,17.29,-13.06,54,66,12,103,0,4,0,24,91,157,66,-91,0
2895,0,38.4,14.06,-24.34,35,67,32,140,0,3,0,45,74,175,67,-108,0
2925,0,31.4,49.4,18,71,192,121,120,0,4,0,25,260,191,192,1,0
2931,0,40.6,40.66,0.06,63,152,89,160,0,1,0,45,214,223,152,-71,0
2980,0,57.1,69.73,12.63,176,245,69,80,0,3,0,25,367,256,245,-11,0
2981,1,60.5,70.11,9.61,196,240,44,85,0,3,0,55,369,281,240,-41,1
2982,0,60.5,70.11,9.61,196,240,44,85,0,3,0,25,369,281,240,-41,0
2983,0,60.5,70.11,9.61,196,240,44,85,0,3,0,25,369,281,240,-41,0
3006,0,51.2,29.83,-21.37,183,104,-79,105,0,1,0,25,157,288,104,-184,0
3011,1,57.1,72.01,14.91,176,245,69,85,0,3,0,70,379,261,245,-16,1
3012,0,57.1,72.01,14.91,176,245,69,85,0,3,0,55,379,261,245,-16,0
3013,0,61,78.28,17.28,196,265,69,112,0,3,0,35,412,308,265,-43,0
3014,0,80.5,112.1,31.6,387,370,-17,98,0,2,0,35,590,485,370,-115,0
3025,0,37.6,26.98,-10.62,82,95,13,55,0,3,0,35,142,137,95,-42,0
3026,0,34.8,30.78,-4.02,39,111,72,90,0,5,0,55,162,129,111,-18,0
3027,0,34.8,30.78,-4.02,39,111,72,90,0,5,0,55,162,129,111,-18,0
3028,0,34.8,30.78,-4.02,39,111,72,90,0,5,0,25,162,129,111,-18,0
3029,0,34.8,30.78,-4.02,39,111,72,90,0,5,0,70,162,129,111,-18,0
3030,0,50.4,32.3,-18.1,154,135,-19,105,0,2,0,70,170,259,135,-124,0
3036,0,64.25,69.16,4.91,196,237,41,75,0,3,0,45,364,271,237,-34,0
3037,1,62.8,69.16,6.36,196,237,41,80,0,3,0,70,364,276,237,-39,1
3038,0,58.3,69.54,11.24,196,231,35,75,0,3,0,55,366,271,231,-40,0
3039,0,59,63.84,4.84,176,219,43,90,0,3,0,35,336,266,219,-47,0
3040,0,32.5,26.98,-5.52,39,113,74,70,0,5,0,45,142,109,113,4,0
3041,0,32.5,26.98,-5.52,39,113,74,70,0,5,0,25,142,109,113,4,0
3042,0,32.5,26.98,-5.52,39,113,74,70,0,5,0,70,142,109,113,4,0
3043,0,32.5,26.98,-5.52,39,113,74,70,0,5,0,35,142,109,113,4,0
3044,1,27.5,15.01,-12.49,42,57,15,55,0,5,0,35,79,97,57,-40,1
3045,0,27.5,15.01,-12.49,42,57,15,55,0,5,0,25,79,97,57,-40,0
3046,0,30.5,18.81,-11.69,42,74,32,70,0,5,0,70,99,112,74,-38,0
3085,0,44,57.19,13.19,137,199,62,70,0,5,0,35,301,207,199,-8,0
3086,0,44,57.19,13.19,137,199,62,70,0,5,0,70,301,207,199,-8,0
3087,0,44,57.19,13.19,137,199,62,70,0,5,0,55,301,207,199,-8,0
3088,0,44,57.19,13.19,137,199,62,70,0,5,0,35,301,207,199,-8,0
3089,0,44,57.19,13.19,137,199,62,70,0,5,0,45,301,207,199,-8,0
3100,1,73,97.28,24.28,387,324,-63,63,0,2,0,55,512,450,324,-126,1
3101,1,76.7,101.84,25.14,387,343,-44,75,0,2,0,25,536,462,343,-119,1
3105,0,30,25.27,-4.73,42,121,79,68,0,5,0,55,133,110,121,11,0
3107,1,75.5,105.45,29.95,387,380,-7,76,0,2,0,70,555,463,380,-83,1
3159,1,67.2,18.24,-48.96,40,89,49,69,0,3,0,5,96,109,89,-20,1
3548,0,31.4,21.28,-10.12,42,88,46,79,0,2,0,70,112,121,88,-33,0
3593,0,33.9,22.61,-11.29,40,108,68,95,0,4,0,70,119,135,108,-27,0
3662,0,25.75,16.72,-9.03,42,73,31,66,0,2,0,45,88,108,73,-35,0
3731,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,25,91,155,74,-81,0
3732,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,45,91,155,74,-81,0
3733,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,25,91,155,74,-81,0
3734,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,35,91,155,74,-81,0
3735,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,31,91,155,74,-81,0
3736,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,55,91,155,74,-81,0
3737,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,70,91,155,74,-81,0
3738,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,15,91,155,74,-81,0
3739,0,28.95,17.29,-11.66,75,74,-1,80,0,4,0,45,91,155,74,-81,0
3806,0,24.45,8.74,-15.71,40,39,-1,65,0,4,0,70,46,105,39,-66,0
4091,0,29.4,29.64,0.24,42,107,65,106,0,2,0,25,156,148,107,-41,0
4155,0,26.9,12.16,-14.74,40,54,14,80,0,4,0,45,64,120,54,-66,0
4210,0,28.6,24.89,-3.71,75,91,16,105,0,4,0,45,131,180,91,-89,0
4278,0,23.3,20.33,-2.97,63,86,23,63,0,1,0,25,107,126,86,-40,0
4292,0,33.4,5.7,-27.7,40,33,-7,95,0,4,0,45,30,135,33,-102,0
4293,0,33.4,5.7,-27.7,40,33,-7,95,0,4,0,35,30,135,33,-102,0
4323,0,60.6,61.37,0.77,193,278,85,200,0,3,0,45,323,393,278,-115,0
4324,0,28.5,28.5,0,63,134,71,105,0,1,0,70,150,168,134,-34,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,-65.81553398,0.082524272
